gene,cancers,logrank_p,pdf
A1BG,BLCA,0.74,./A1BG_survival_OvLdW.pdf
A1CF,BLCA,0.74,./A1BG_survival_OvLdW.pdf
AAAS,BLCA,0.98,./AAAS_survival_hQkY3.pdf
AACS,BLCA,0.091,./AACS_survival_DpXZl.pdf
AADACL2,BLCA,0.091,./AACS_survival_DpXZl.pdf
AADAT,BLCA,0.086,./AADAT_survival_lLg4w.pdf
AAGAB,BLCA,0.35,./AAGAB_survival_Hf45X.pdf
AAMP,BLCA,0.26,./AAMP_survival_IHtS0.pdf
AAR2,BLCA,0.46,./AAR2_survival_zbtIB.pdf
AARD,BLCA,0.0012,./AARD_survival_iKBqF.pdf
AARS,BLCA,0.066,./AARS_survival_7mb4u.pdf
AARS2,BLCA,0.46,./AARS2_survival_TmRwv.pdf
AASDHPPT,BLCA,0.36,./AASDHPPT_survival_5qyuQ.pdf
AASS,BLCA,0.31,./AASS_survival_g4DE4.pdf
AATF,BLCA,0.15,./AATF_survival_ORlZK.pdf
AATK,BLCA,0.94,./AATK_survival_eQG6k.pdf
ABCA1,BLCA,0.83,./ABCA1_survival_bgjRN.pdf
ABCA10,BLCA,0.063,./ABCA10_survival_jhgk3.pdf
ABCA12,BLCA,0.53,./ABCA12_survival_kA6Zn.pdf
ABCA13,BLCA,0.48,./ABCA13_survival_e6Pzh.pdf
ABCA4,BLCA,0.0075,./ABCA4_survival_Ade0a.pdf
ABCA5,BLCA,0.68,./ABCA5_survival_kzpzI.pdf
ABCA6,BLCA,0.87,./ABCA6_survival_Lrkzo.pdf
ABCA9,BLCA,0.18,./ABCA9_survival_bWesK.pdf
ABCB1,BLCA,0.74,./ABCB1_survival_JA8IC.pdf
ABCB4,BLCA,0.084,./ABCB4_survival_Mv8tx.pdf
ABCB5,BLCA,0.052,./ABCB5_survival_JFIBB.pdf
ABCB7,BLCA,0.44,./ABCB7_survival_0Rzf6.pdf
ABCB8,BLCA,0.065,./ABCB8_survival_KZs4Y.pdf
ABCC11,BLCA,0.074,./ABCC11_survival_jqKya.pdf
ABCC12,BLCA,0.074,./ABCC11_survival_jqKya.pdf
ABCC2,BLCA,0.19,./ABCC2_survival_jD6w1.pdf
ABCC9,BLCA,0.0004,./ABCC9_survival_ONEik.pdf
ABCD1,BLCA,0.38,./ABCD1_survival_eTy0A.pdf
ABCD3,BLCA,0.87,./ABCD3_survival_eYWdn.pdf
ABCE1,BLCA,0.66,./ABCE1_survival_5Aav1.pdf
ABCF1,BLCA,0.036,./ABCF1_survival_9TyKU.pdf
ABCF2,BLCA,0.12,./ABCF2_survival_obNIG.pdf
ABCG2,BLCA,0.5,./ABCG2_survival_cw2gR.pdf
ABHD10,BLCA,0.16,./ABHD10_survival_bLud6.pdf
ABHD13,BLCA,0.88,./ABHD13_survival_Mb1SP.pdf
ABHD15,BLCA,0.94,./ABHD15_survival_HhrcD.pdf
ABHD17A,BLCA,0.21,./ABHD17A_survival_Vwuog.pdf
ABHD17B,BLCA,0.55,./ABHD17B_survival_BS59p.pdf
ABI1,BLCA,0.11,./ABI1_survival_ylPnQ.pdf
ABI3BP,BLCA,0.0054,./ABI3BP_survival_kuKR3.pdf
ABLIM1,BLCA,0.71,./ABLIM1_survival_vQ3tP.pdf
ABLIM3,BLCA,0.16,./ABLIM3_survival_xJmyJ.pdf
ABT1,BLCA,0.22,./ABT1_survival_U4iuR.pdf
ACAA2,BLCA,0.3,./ACAA2_survival_pQvr9.pdf
